timestamp,pm25,temperature,humidity
2025-06-10 00:00:00,39.9,22.08,58.68
2025-06-10 00:00:05,35.34,22.49,62.8
2025-06-10 00:00:10,38.25,22.05,62.23
2025-06-10 00:00:15,39.56,22.3,57.64
2025-06-10 00:00:20,44.75,22.32,55.13
2025-06-10 00:00:25,40.59,21.54,64.77
2025-06-10 00:00:30,44.53,22.13,61.74
2025-06-10 00:00:35,40.93,22.36,64.15
2025-06-10 00:00:40,38.39,21.74,55.22
2025-06-10 00:00:45,36.24,22.44,61.13
2025-06-10 00:00:50,42.58,22.4,62.3
2025-06-10 00:00:55,38.08,21.78,56.94
2025-06-10 00:01:00,44.51,21.96,62.79
2025-06-10 00:01:05,41.08,22.16,59.02
2025-06-10 00:01:10,39.84,21.84,64.44
2025-06-10 00:01:15,38.1,22.02,63.7
2025-06-10 00:01:20,38.89,21.94,59.32
2025-06-10 00:01:25,42.83,21.88,63.77
2025-06-10 00:01:30,39.97,22.17,59.37
2025-06-10 00:01:35,37.19,22.03,58.2
2025-06-10 00:01:40,36.52,21.57,56.19
2025-06-10 00:01:45,39.45,22.22,63.81
2025-06-10 00:01:50,39.82,22.42,56.61
2025-06-10 00:01:55,42.36,21.82,64.59
2025-06-10 00:02:00,42.07,21.68,62.33
2025-06-10 00:02:05,36.75,21.7,57.51
2025-06-10 00:02:10,36.29,21.99,57.66
2025-06-10 00:02:15,41.73,21.51,61.68
2025-06-10 00:02:20,43.14,21.71,61.95
2025-06-10 00:02:25,35.13,22.35,56.54
2025-06-10 00:02:30,40.51,21.7,57.3
2025-06-10 00:02:35,39.16,21.6,55.22
2025-06-10 00:02:40,36.88,21.54,63.64
2025-06-10 00:02:45,44.77,22.46,58.36
2025-06-10 00:02:50,42.94,21.69,61.62
2025-06-10 00:02:55,43.72,21.65,63.1
2025-06-10 00:03:00,40.43,22.1,59.08
2025-06-10 00:03:05,41.74,21.68,64.86
2025-06-10 00:03:10,38.77,21.83,60.25
2025-06-10 00:03:15,35.46,22.16,59.23
2025-06-10 00:03:20,40.6,21.92,56.36
2025-06-10 00:03:25,41.31,22.05,57.77
2025-06-10 00:03:30,42.98,22.38,63.39
2025-06-10 00:03:35,42.57,21.73,64.06
2025-06-10 00:03:40,39.39,22.21,64.86
2025-06-10 00:03:45,40.28,22.02,58.68
2025-06-10 00:03:50,44.6,22.45,60.81
2025-06-10 00:03:55,38.41,22.44,59.93
2025-06-10 00:04:00,37.63,21.59,60.07
2025-06-10 00:04:05,36.99,22.3,58.9
2025-06-10 00:04:10,42.46,21.75,62.13
2025-06-10 00:04:15,37.79,21.92,64.61
2025-06-10 00:04:20,36.51,21.99,61.51
2025-06-10 00:04:25,41.72,22.44,57.11
2025-06-10 00:04:30,36.04,21.93,60.58
2025-06-10 00:04:35,38.96,22.32,64.94
2025-06-10 00:04:40,39.35,21.57,60.45
2025-06-10 00:04:45,36.01,22.17,61.15
2025-06-10 00:04:50,39.82,21.96,59.93
2025-06-10 00:04:55,35.61,22.25,60.68
2025-06-10 00:05:00,42.04,22.16,56.5
2025-06-10 00:05:05,38.78,21.73,55.36
2025-06-10 00:05:10,37.76,21.82,60.69
2025-06-10 00:05:15,38.38,21.66,57.38
2025-06-10 00:05:20,40.77,21.78,60.17
2025-06-10 00:05:25,38.72,21.98,64.67
2025-06-10 00:05:30,42.29,22.24,64.35
2025-06-10 00:05:35,44.37,22.09,64.1
2025-06-10 00:05:40,36.58,22.1,64.19
2025-06-10 00:05:45,42.64,22.2,62.59
2025-06-10 00:05:50,39.81,22.36,57.95
2025-06-10 00:05:55,35.75,21.71,55.7
2025-06-10 00:06:00,40.29,21.64,62.0
2025-06-10 00:06:05,38.18,21.95,59.74
2025-06-10 00:06:10,40.45,21.88,60.31
2025-06-10 00:06:15,44.22,22.12,58.3
2025-06-10 00:06:20,36.24,22.3,64.7
2025-06-10 00:06:25,41.75,22.15,58.68
2025-06-10 00:06:30,43.94,21.87,59.51
2025-06-10 00:06:35,35.5,22.48,58.92
2025-06-10 00:06:40,41.26,22.04,59.72
2025-06-10 00:06:45,36.8,21.79,60.42
2025-06-10 00:06:50,39.53,22.44,56.57
